FACTOR_ID	FACTOR_NAME	CORR_PVALUE	PVALUE	GENES
MA0056.1.MZF1_1-4	MZF1	0.0	1.3661765939e-42	AMER3,KIAA1257,SPTB,SNAP91,GPM6A,NOL4,NKX2-2,MAFA,SOX17,C1ORF168,RREB1,CACNA1H,LHX3,ADAMTS2,RORB,RORA,ATRNL1,GLP1R,MEIS2,NECAB2,B3GALT4,JAKMIP2,SP1,FAM84A,PPM1H,CACNA2D1,NKX6-1,DBNL,SCGB2A1,RNF180,CCND1,FOXA2,FAM135B,LSAMP,SLC5A1,ELAVL4,ACVR1C,GRIA2,G6PC2,CNTN4,TMEM132D,RUNX1,ST18,KBTBD7,MEIS3,KCNMA1,IGSF11,MAP10,KCNK16,NKX2-5,DLX1,DLX2,SDK1,TCF7,TCF3,FOS,TSHZ3,UNC5D,PAX6,GRN,IRF2,SULT4A1,NALCN,ST8SIA3,CAMKK2,PCDH17,HS6ST3,HLF,FOXC1,AGBL4,HDAC7,ONECUT1,TENM3,CADPS,GAD2,ZBTB10,MECOM,CACNB2,OXGR1,CADM1,TAL1,RIMBP2,ABCG1,HMGCLL1,FOXD3,BARX2,NMNAT3,ANKS1B,KCNB2,LEF1,GABRB3,SLC43A3,PDZRN3,FAIM2,CTNNB1,TMEM63C,NEUROD1,IRAK1BP1,PAPPA2,IRS1,NKX3-2,FGF14,CCBL2,FOXQ1,FOXO1,SOX9,TEAD3,DSCAM,TEAD1,MAP9,SOX5,DGKZ,SIM1,PBX4,PGR,PCDH20,NR3C1,RTN1,REST,RXRA,DACH1,ST6GALNAC5,PBX3,GFI1,SLC7A10,MZF1,PRUNE2,PTCH1,STXBP5L
MA0079.2.SP1	SP1	0.0	2.95585537315e-41	AMER3,SPTB,MEIS2,GPM6A,NOL4,NKX2-2,MAFA,PPM1H,CACNA1H,LHX3,ADAMTS2,RORB,RORA,ATRNL1,FOXF2,GLP1R,RELA,NECAB2,B3GALT4,JAKMIP2,SP1,CCND1,FOXA2,FAM135B,LSAMP,ELAVL4,ACVR1C,GRIA2,TMEM132D,DAXX,KCNMA1,SOX17,MAP10,DLX1,DLX2,SDK1,TCF3,KCNK16,TSHZ3,UNC5D,PAX6,GRN,CEBPA,IRF2,NALCN,ST8SIA3,CAMKK2,PCDH17,HLF,FOXC1,AGBL4,HDAC7,ONECUT1,TENM3,CADPS,GAD2,SLC52A3,RUNX1,MECOM,CACNB2,OXGR1,ABCG1,HMGCLL1,RXRA,BARX2,KCNB2,GABRB3,SLC43A3,ERO1L,NEUROD1,SLC5A1,IRS1,NKX3-2,CCBL2,FOXQ1,IRAK1BP1,TEAD3,DGKZ,SIM1,RTN1,DACH1,ST6GALNAC5,PBX3,GFI1,PRUNE2,PTCH1,STXBP5L,ATF3
UP00007_1_Egr1_primary	EGR1	0.0	8.81878541262e-30	QTRTD1,NKX2-2,HDAC7,GRIA2,IRS1,IRAK1BP1,CNTN4,TEAD2,TEAD3,MAFA,GABRB3,MAP9,RREB1,CACNA1H,SIM1,LHX3,ADAMTS2,MECOM,CACNB2,AMER3,DSCAM,SOX17,ATRNL1,FOXF2,HLF,DLX1,DLX2,CADM1,B3GALT4,RIMBP2,SP1,RXRA,REST,FAM84A,FOXC1,PAX6,DACH1,ANKS1B,NOL4,CACNA2D1,SLC43A3,PBX3,PDZRN3,SNAP91,ERO1L,NEUROD1,GFI1,CCND1,NALCN,ST8SIA3,NECAB2,SLC52A3,FOXA2,NKX3-2,LPAR3,CEBPA,SLC18A2,ATF3,CCBL2
UP00000_2_Smad3_secondary	SMAD3	0.0	6.15058492634e-27	MYO3A,AGBL4,ACVR1C,GRIA2,ATF3,DACH1,BMPER,TEAD2,NKX2-2,MAFA,TEAD1,CADPS,GAD2,RREB1,DGKZ,DAXX,SIM1,LHX3,HDAC7,CACNB2,SLC52A3,RORA,SOX17,PGR,GLP1R,RELA,NECAB2,FAM135B,B3GALT4,SDK1,HMGCLL1,RXRA,UNC5D,PAX6,ANKS1B,KCNB2,ST6GALNAC5,GABRB3,SLC43A3,ABCG1,ERO1L,NEUROD1,GFI1,CACNA1H,ST8SIA3,IRS1,FOXA2,PRUNE2,NKX3-2,LSAMP,PDX1,FOXC1,CCBL2
UP00021_1_Zfp281_primary	ZFP281	0.0	7.20719396163e-26	ELAVL4,B3GALT4,QTRTD1,AGBL4,NKX2-2,ACVR1C,SDK1,GRIA2,SLC7A10,ONECUT1,KCNMA1,PCDH17,CNTN4,TEAD3,MAFA,RUNX1,GAD2,RREB1,DGKZ,SIM1,LHX3,HDAC7,ADAMTS2,MECOM,CACNB2,AMER3,RORB,RORA,SOX17,KCNK16,GLP1R,OXGR1,DLX1,DLX2,CADM1,FOXQ1,JAKMIP2,TCF3,SP1,HMGCLL1,RXRA,UNC5D,RTN1,PAX6,CACNA1H,ANKS1B,NOL4,CADPS,GABRB3,GRN,PBX3,FAM135B,IRF2,ERO1L,NEUROD1,GFI1,PPM1H,CCND1,ST8SIA3,IRS1,NECAB2,CAMKK2,FOXA2,PRUNE2,NKX3-2,HLF,CEBPA,DACH1,SLC5A1,FOXC1
UP00002_1_Sp4_primary	SP4	0.0	5.19106002505e-25	ACVR1C,GRIA2,GRN,SNAP91,DACH1,TMEM132D,NKX2-2,MAFA,TEAD1,MAP9,DGKZ,SIM1,LHX3,HDAC7,ADAMTS2,CACNB2,AMER3,RORB,RORA,SOX17,DSCAM,PGR,HMGCLL1,OXGR1,DLX1,DLX2,CACNA1H,FOS,KCNK16,RXRA,UNC5D,BARX2,PAX6,HLF,ANKS1B,KCNB2,GABRB3,SLC43A3,PBX3,FAM135B,IRF2,ERO1L,NEUROD1,GFI1,NOL4,SLC5A1,CCND1,ST8SIA3,IRS1,NECAB2,SLC52A3,FOXA2,PRUNE2,NKX3-2,LSAMP,PDX1,CEBPA,PTCH1,FOXC1,CCBL2
MA0039.2.Klf4	KLF4	0.0	1.12405971667e-23	AGBL4,ACVR1C,SDK1,GRIA2,ATF3,SPTB,NKX2-2,GPM6A,CNTN4,TMEM132D,TEAD3,MAFA,TEAD1,ABCG1,RUNX1,RREB1,DGKZ,SIM1,LHX3,HDAC7,ADAMTS2,MECOM,AMER3,KCNMA1,RORA,SOX17,ATRNL1,PGR,HMGCLL1,OXGR1,NECAB2,PCDH17,B3GALT4,JAKMIP2,GABRB3,RIMBP2,FOS,RXRA,UNC5D,TCF3,PAX6,GRN,KCNB2,CACNA2D1,PBX3,CEBPA,FAIM2,SLC7A10,ERO1L,NEUROD1,GFI1,NOL4,CACNA1H,CCND1,NALCN,ST8SIA3,IRS1,TEAD2,SLC52A3,FOXA2,PRUNE2,NKX3-2,LSAMP,KBTBD7,SLC5A1,FOXC1,CCBL2
MA0003.1.TFAP2A	TFAP2A	0.0	2.45214175451e-22	B3GALT4,GRIA2,SNAP91,NKX2-2,CNTN4,TMEM132D,TEAD3,MAFA,GAD2,RREB1,DGKZ,CEBPA,LHX3,ADAMTS2,PPM1H,RORA,SOX17,ATRNL1,RUNX1,FOXF2,FAM135B,FOXQ1,KBTBD7,ABCG1,RXRA,ZFP36L1,BARX2,ST6GALNAC5,GABRB3,PBX3,FAIM2,TENM3,SULT4A1,CACNA1H,CCND1,FOXA2,PRUNE2,NKX3-2,STXBP5L
UP00093_1_Klf7_primary	KLF7	0.0	2.45207050547e-21	ACVR1C,SDK1,GRIA2,ATF3,SPTB,NKX2-2,GPM6A,CNTN4,TMEM132D,TEAD3,MAFA,RUNX1,RREB1,DGKZ,SIM1,LHX3,HDAC7,ADAMTS2,MECOM,AMER3,MEIS2,RORA,PGR,HMGCLL1,OXGR1,NECAB2,B3GALT4,JAKMIP2,TCF3,FOS,TSHZ3,RXRA,UNC5D,RTN1,PAX6,GRN,KCNB2,GABRB3,PBX3,CEBPA,ERO1L,NEUROD1,GFI1,NOL4,CACNA1H,CCND1,ST8SIA3,IRS1,SLC52A3,FOXA2,PRUNE2,NKX3-2,PTCH1,SLC5A1,FOXC1,CCBL2
MA0139.1.CTCF	CTCF	0.0	1.21816765704e-19	ELAVL4,MYO3A,AGBL4,HDAC7,SLC7A10,SPTB,GRIA4,SLC5A1,CNTN4,TEAD2,TMEM132D,RREB1,DGKZ,ATRNL1,SIM1,LHX3,ADAMTS2,AMER3,KCNMA1,DSCAM,MAP10,PGR,RASEF,GLP1R,NMNAT3,TMEM132B,FAM135B,PCDH17,SDK1,ABCG1,RXRA,BARX2,MTUS2,DACH1,NOL4,ST6GALNAC5,CACNA2D1,NKX6-1,FAIM2,IRF2,TMEM61,CACNA1H,GRIK2,ST8SIA3,IRS1,NKX3-2,FGF14,SLC17A6,CCBL2
