FACTOR_ID	FACTOR_NAME	CORR_PVALUE	PVALUE	GENES
MA0079.2.SP1	SP1	0.0	5.34528689447e-18	ELAVL4,AGBL4,ACVR1C,SDK1,GRIA2,SPTB,KCNMA1,TENM3,SLC5A1,GPM6A,NOL4,TMEM132D,CADPS,GAD2,CACNA1H,ATRNL1,SIM1,ADAMTS2,CACNB2,AMER3,RORB,MAP10,KCNK16,GLP1R,OXGR1,NECAB2,FAM135B,PCDH17,JAKMIP2,TSHZ3,HMGCLL1,RTN1,UNC5D,BARX2,PAX6,DACH1,KCNB2,ST6GALNAC5,GABRB3,NEUROD1,NALCN,ST8SIA3,MEIS2,PRUNE2,LSAMP,STXBP5L,FOXC1
MA0056.1.MZF1_1-4	MZF1	0.0	2.08329121039e-17	KIAA1257,SPTB,MEIS2,SNAP91,GPM6A,KCNB2,CACNA1H,ADAMTS2,RORB,ATRNL1,GLP1R,NECAB2,JAKMIP2,FAM84A,CACNA2D1,NKX6-1,SCGB2A1,RNF180,LSAMP,ELAVL4,ACVR1C,GRIA2,G6PC2,CNTN4,TMEM132D,ST18,KBTBD7,AMER3,MEIS3,KCNMA1,IGSF11,MAP10,KCNK16,FAM135B,SDK1,TSHZ3,UNC5D,PAX6,SULT4A1,NALCN,ST8SIA3,PCDH17,HS6ST3,FOXC1,AGBL4,TENM3,ST6GALNAC5,GAD2,CACNB2,NMNAT3,OXGR1,CADM1,RIMBP2,HMGCLL1,BARX2,ANKS1B,NOL4,C1ORF168,GABRB3,PDZRN3,TMEM63C,NEUROD1,SLC5A1,PAPPA2,FGF14,DSCAM,MAP9,SIM1,PGR,PCDH20,RTN1,DACH1,CADPS,PRUNE2,STXBP5L
MA0099.1.Fos	FOS	0.0	2.1976399017e-17	ELAVL4,C2CD4A,AGBL4,TSPYL5,SPTB,GRIA4,G6PC2,CNTN4,TMEM132D,ST18,CACNA1H,ADAMTS2,KCNMA1,IGSF11,NMNAT3,FAM135B,FGF14,SDK1,RIMBP2,MTUS2,ANKS1B,ROR1,TMEM63C,SULT4A1,PAPPA2,KL,MEIS2,LSAMP,HS6ST3
UP00000_2_Smad3_secondary	SMAD3	6.53366249992e-12	1.22445239277e-14	MYO3A,AGBL4,ACVR1C,GRIA2,DACH1,CADPS,GAD2,CACNA1H,SIM1,CACNB2,PGR,HMGCLL1,NECAB2,FAM135B,SDK1,GLP1R,UNC5D,PAX6,ANKS1B,KCNB2,ST6GALNAC5,GABRB3,NEUROD1,ST8SIA3,PRUNE2,LSAMP,PDX1,FOXC1
MA0139.1.CTCF	CTCF	3.21329629571e-11	6.01626980949e-14	ELAVL4,MYO3A,AGBL4,SPTB,GRIA4,SLC5A1,CNTN4,DSCAM,TMEM132D,TMEM132B,CACNA1H,ATRNL1,SIM1,ADAMTS2,AMER3,KCNMA1,MAP10,PGR,RASEF,GLP1R,NMNAT3,FAM135B,FGF14,SDK1,BARX2,MTUS2,DACH1,NOL4,ST6GALNAC5,CACNA2D1,NKX6-1,TMEM61,GRIK2,ST8SIA3,PCDH17,SLC17A6
UP00103_2_Jundm2_secondary	JDP2	5.88790127765e-10	1.10462616958e-12	ELAVL4,C2CD4A,AGBL4,TSPYL5,GRIA4,G6PC2,MAPK10,CNTN4,TMEM132D,MAP9,ST18,CACNA1H,IGSF11,NMNAT3,FAM135B,FGF14,SDK1,MTUS2,ANKS1B,ROR1,TMEM63C,SULT4A1,PAPPA2,KL,PDK4
UP00021_1_Zfp281_primary	ZFP281	1.02162767135e-09	1.92034589004e-12	ELAVL4,AGBL4,ACVR1C,SDK1,GRIA2,KCNMA1,DACH1,CNTN4,GAD2,CACNA1H,SIM1,ADAMTS2,CACNB2,AMER3,RORB,KCNK16,GLP1R,OXGR1,NECAB2,FAM135B,CADM1,JAKMIP2,HMGCLL1,RTN1,UNC5D,PAX6,ANKS1B,NOL4,CADPS,GABRB3,NEUROD1,SLC5A1,ST8SIA3,PRUNE2,PCDH17,FOXC1
UP00007_1_Egr1_primary	EGR1	4.39056001555e-08	8.26847278947e-11	GRIA2,SNAP91,ANKS1B,CNTN4,DSCAM,MAP9,CACNA1H,SIM1,GABRB3,ADAMTS2,CACNB2,AMER3,ATRNL1,NECAB2,CADM1,RIMBP2,FAM84A,PAX6,DACH1,NOL4,CACNA2D1,PDZRN3,NEUROD1,NALCN,ST8SIA3,SLC18A2,FOXC1
UP00002_1_Sp4_primary	SP4	1.27576237019e-07	2.40709911604e-10	ACVR1C,GRIA2,SNAP91,DACH1,NOL4,TMEM132D,MAP9,CACNA1H,SIM1,ADAMTS2,CACNB2,AMER3,RORB,DSCAM,KCNK16,PGR,HMGCLL1,OXGR1,NECAB2,FAM135B,UNC5D,BARX2,PAX6,ANKS1B,KCNB2,GABRB3,NEUROD1,SLC5A1,ST8SIA3,PRUNE2,LSAMP,PDX1,FOXC1
UP00033_2_Zfp410_secondary	ZFP410	3.46606850887e-07	6.55211510621e-10	AGBL4,ACVR1C,GRIA2,KCNMA1,GPM6A,CNTN4,NOL4,ST18,CACNA1H,SIM1,ADAMTS2,CACNB2,AMER3,RORB,NECAB2,FAM135B,KCNK16,UNC5D,BARX2,PAX6,DACH1,KCNB2,CADPS,GABRB3,NEUROD1,ST8SIA3,MEIS2,PRUNE2
Ash2l_hand	NA	1.1075305959e-06	2.09759693784e-09	AGBL4,SDK1,ANKS1B,CNTN4,NOL4,TMEM132D,CACNA1H,SIM1,ADAMTS2,AMER3,OXGR1,PCDH20,FAM135B,FGF14,JAKMIP2,PAX6,DACH1,KCNB2,GABRB3,TMEM63C,PDK4,HS6ST3,FOXC1
