FACTOR_ID	FACTOR_NAME	CORR_PVALUE	PVALUE	GENES
MA0056.1.MZF1_1-4	MZF1	0.0	5.32635521122e-41	AMER3,KIAA1257,SPTB,SNAP91,GPM6A,NOL4,NKX2-2,MAFA,SOX17,RREB1,CACNA1H,LHX3,ADAMTS2,RORB,RORA,ATRNL1,GLP1R,MEIS2,NECAB2,B3GALT4,JAKMIP2,SP1,FAM84A,PPM1H,CACNA2D1,NKX6-1,PCDH20,DBNL,SCGB2A1,RNF180,CCND1,FOXA2,FAM135B,LSAMP,ELAVL4,ACVR1C,GRIA2,G6PC2,CNTN4,TMEM132D,RUNX1,ST18,KBTBD7,MEIS3,KCNMA1,IGSF11,MAP10,KCNK16,NKX2-5,DLX1,DLX2,SDK1,TCF7,TCF3,FOS,TSHZ3,UNC5D,PAX6,GRN,IRF2,SULT4A1,NALCN,ST8SIA3,CAMKK2,PCDH17,HS6ST3,HLF,FOXC1,AGBL4,HDAC7,ONECUT1,TENM3,ST6GALNAC5,GAD2,ZBTB10,MECOM,CACNB2,OXGR1,CADM1,TAL1,RIMBP2,ABCG1,HMGCLL1,FOXD3,BARX2,NMNAT3,ANKS1B,KCNB2,LEF1,GABRB3,SLC43A3,PDZRN3,FAIM2,CTNNB1,TMEM63C,NEUROD1,SLC5A1,PAPPA2,IRS1,NKX3-2,FGF14,CCBL2,FOXQ1,CPEB1,IRAK1BP1,FOXO1,SOX9,TEAD3,DSCAM,TEAD1,MAP9,SOX5,DGKZ,SIM1,PBX4,PGR,NR3C1,RTN1,REST,RXRA,DACH1,CADPS,PBX3,GFI1,MZF1,PRUNE2,PTCH1,STXBP5L
MA0079.2.SP1	SP1	0.0	5.54713622184e-41	AMER3,SPTB,MEIS2,GPM6A,NOL4,NKX2-2,MAFA,SOX17,CACNA1H,LHX3,ADAMTS2,RORB,RORA,ATRNL1,FOXF2,GLP1R,RELA,NECAB2,B3GALT4,JAKMIP2,SP1,CCND1,FOXA2,FAM135B,LSAMP,ELAVL4,ACVR1C,GRIA2,TMEM132D,DAXX,KCNMA1,PPM1H,MAP10,DLX1,DLX2,SDK1,TCF3,KCNK16,TSHZ3,UNC5D,PAX6,GRN,CEBPA,IRF2,NALCN,ST8SIA3,CAMKK2,PCDH17,HLF,FOXC1,AGBL4,HDAC7,ONECUT1,TENM3,CADPS,GAD2,SLC52A3,RUNX1,MECOM,CACNB2,OXGR1,ABCG1,HMGCLL1,RXRA,BARX2,KCNB2,GABRB3,SLC43A3,ERO1L,NEUROD1,SLC5A1,IRS1,NKX3-2,CCBL2,FOXQ1,CPEB1,IRAK1BP1,TEAD3,DGKZ,SIM1,RTN1,DACH1,ST6GALNAC5,PBX3,GFI1,PRUNE2,PTCH1,STXBP5L,ATF3
UP00000_2_Smad3_secondary	SMAD3	0.0	5.5504855048e-31	MYO3A,AGBL4,ACVR1C,GRIA2,ATF3,CPEB1,DACH1,BMPER,TEAD2,NKX2-2,MAFA,TEAD1,CADPS,GAD2,RREB1,DGKZ,DAXX,SIM1,LHX3,HDAC7,CACNB2,SLC52A3,RORA,SOX17,PGR,GLP1R,RELA,NECAB2,FAM135B,B3GALT4,SDK1,HMGCLL1,RXRA,UNC5D,PAX6,ANKS1B,KCNB2,ST6GALNAC5,GABRB3,SLC43A3,ABCG1,ERO1L,NEUROD1,GFI1,CACNA1H,ST8SIA3,IRS1,FOXA2,PRUNE2,NKX3-2,LSAMP,PDX1,FOXC1,CCBL2
MA0039.2.Klf4	KLF4	0.0	1.25820252521e-26	AGBL4,ACVR1C,SDK1,GRIA2,ATF3,SPTB,CPEB1,NKX2-2,GPM6A,CNTN4,TMEM132D,TEAD3,MAFA,TEAD1,RUNX1,RREB1,DGKZ,SIM1,LHX3,HDAC7,ADAMTS2,MECOM,AMER3,KCNMA1,RORA,SOX17,ATRNL1,PGR,HMGCLL1,OXGR1,NECAB2,PCDH17,B3GALT4,JAKMIP2,GABRB3,RIMBP2,FOS,RXRA,UNC5D,TCF3,PAX6,GRN,KCNB2,CACNA2D1,PBX3,CEBPA,FAIM2,ABCG1,ERO1L,NEUROD1,GFI1,NOL4,CACNA1H,CCND1,NALCN,ST8SIA3,IRS1,TEAD2,SLC52A3,FOXA2,PRUNE2,NKX3-2,LSAMP,KBTBD7,SLC5A1,FOXC1,CCBL2
UP00093_1_Klf7_primary	KLF7	0.0	5.67798485353e-26	ACVR1C,SDK1,GRIA2,ATF3,SPTB,CPEB1,NKX2-2,GPM6A,CNTN4,TMEM132D,TEAD3,MAFA,RUNX1,RREB1,DGKZ,SIM1,LHX3,HDAC7,ADAMTS2,MECOM,AMER3,MEIS2,RORA,PGR,HMGCLL1,OXGR1,NECAB2,B3GALT4,JAKMIP2,TCF3,FOS,TSHZ3,RXRA,UNC5D,RTN1,PAX6,GRN,KCNB2,GABRB3,PBX3,CEBPA,ERO1L,NEUROD1,GFI1,NOL4,CACNA1H,CCND1,ST8SIA3,IRS1,SLC52A3,FOXA2,PRUNE2,NKX3-2,PTCH1,SLC5A1,FOXC1,CCBL2
UP00002_1_Sp4_primary	SP4	0.0	1.38047314153e-25	ACVR1C,GRIA2,CPEB1,GRN,SNAP91,DACH1,TMEM132D,NKX2-2,MAFA,TEAD1,MAP9,DGKZ,SIM1,LHX3,HDAC7,ADAMTS2,CACNB2,AMER3,RORB,RORA,SOX17,DSCAM,PGR,HMGCLL1,OXGR1,DLX1,DLX2,CACNA1H,FOS,KCNK16,RXRA,UNC5D,BARX2,PAX6,HLF,ANKS1B,KCNB2,GABRB3,SLC43A3,PBX3,FAM135B,IRF2,ERO1L,NEUROD1,GFI1,NOL4,SLC5A1,CCND1,ST8SIA3,IRS1,NECAB2,SLC52A3,FOXA2,PRUNE2,NKX3-2,LSAMP,PDX1,CEBPA,PTCH1,FOXC1,CCBL2
UP00033_2_Zfp410_secondary	ZFP410	0.0	3.24961715776e-23	AGBL4,ACVR1C,GRIA2,CPEB1,KCNMA1,GPM6A,CNTN4,NOL4,NKX2-2,MAFA,LEF1,ST18,RREB1,DGKZ,SIM1,LHX3,HDAC7,ADAMTS2,MECOM,CACNB2,AMER3,RORB,RORA,NECAB2,FAM135B,CACNA1H,TCF3,KCNK16,RXRA,UNC5D,BARX2,PAX6,MZF1,DACH1,KCNB2,CADPS,GABRB3,SLC43A3,PBX3,CEBPA,ABCG1,ERO1L,NEUROD1,GFI1,ST8SIA3,IRS1,MEIS2,FOXA2,PRUNE2,NKX3-2
UP00021_1_Zfp281_primary	ZFP281	0.0	1.26771062051e-22	ELAVL4,B3GALT4,QTRTD1,AGBL4,NKX2-2,ACVR1C,SDK1,GRIA2,ONECUT1,KCNMA1,PCDH17,CNTN4,TEAD3,MAFA,PPM1H,RUNX1,GAD2,RREB1,DGKZ,SIM1,LHX3,HDAC7,ADAMTS2,MECOM,CACNB2,AMER3,RORB,RORA,SOX17,KCNK16,GLP1R,OXGR1,DLX1,DLX2,CADM1,FOXQ1,JAKMIP2,TCF3,SP1,HMGCLL1,RXRA,UNC5D,RTN1,PAX6,ANKS1B,NOL4,CADPS,GABRB3,GRN,PBX3,FAM135B,IRF2,ERO1L,NEUROD1,GFI1,CACNA1H,CCND1,ST8SIA3,IRS1,NECAB2,CAMKK2,FOXA2,PRUNE2,NKX3-2,HLF,CEBPA,DACH1,SLC5A1,FOXC1
UP00007_1_Egr1_primary	EGR1	0.0	3.73608929112e-22	QTRTD1,HLF,HDAC7,GRIA2,CPEB1,IRS1,IRAK1BP1,CNTN4,TEAD2,TEAD3,MAFA,GABRB3,MAP9,RREB1,CACNA1H,SIM1,LHX3,ADAMTS2,MECOM,CACNB2,AMER3,DSCAM,SOX17,ATRNL1,FOXF2,NKX2-2,DLX1,DLX2,CADM1,B3GALT4,RIMBP2,SP1,RXRA,REST,FAM84A,FOXC1,PAX6,DACH1,ANKS1B,NOL4,CACNA2D1,SLC43A3,PBX3,PDZRN3,SNAP91,ERO1L,NEUROD1,GFI1,CCND1,NALCN,ST8SIA3,NECAB2,SLC52A3,FOXA2,NKX3-2,LPAR3,CEBPA,SLC18A2,ATF3,CCBL2
UP00043_2_Bcl6b_secondary	BCL6B	0.0	3.20372091666e-20	ELAVL4,AGBL4,ACVR1C,SDK1,GRIA2,CPEB1,MEIS2,SNAP91,NKX2-2,GPM6A,CNTN4,NOL4,TEAD3,MAFA,ST18,DGKZ,CEBPA,LHX3,HDAC7,ADAMTS2,MECOM,CACNB2,SLC52A3,RORB,RORA,PPM1H,TSHZ3,NMNAT3,PCDH17,B3GALT4,JAKMIP2,ABCG1,TCF3,RXRA,UNC5D,BARX2,PAX6,GRN,KCNB2,CADPS,GABRB3,SLC43A3,ERO1L,NEUROD1,GFI1,CACNA1H,ST8SIA3,FOXA2,PRUNE2,NKX3-2,SLC18A2,SLC5A1,CCBL2
UP00065_2_Zfp161_secondary	ZFP161	0.0	4.51310788637e-18	ACVR1C,SNAP91,BMPER,NKX2-2,MAFA,GAD2,RREB1,SIM1,LHX3,HDAC7,MEIS2,RORA,PPM1H,GLP1R,RELA,NECAB2,FAM135B,TSHZ3,ANKS1B,NOL4,GABRB3,PDZRN3,ABCG1,NEUROD1,GFI1,CCND1,ST8SIA3,FOXA2,PRUNE2,SLC18A2
MA0139.1.CTCF	CTCF	0.0	1.60424871112e-17	ELAVL4,MYO3A,AGBL4,HDAC7,ST8SIA3,SPTB,CPEB1,GRIA4,SLC5A1,CNTN4,TEAD2,TMEM132D,RREB1,DGKZ,ATRNL1,SIM1,LHX3,ADAMTS2,AMER3,KCNMA1,DSCAM,MAP10,PGR,RASEF,GLP1R,NMNAT3,FAM135B,PCDH17,SDK1,ABCG1,RXRA,BARX2,MTUS2,DACH1,NOL4,ST6GALNAC5,CACNA2D1,NKX6-1,FAIM2,IRF2,TMEM61,CACNA1H,GRIK2,TMEM132B,IRS1,NKX3-2,FGF14,SLC17A6,CCBL2
UP00099_2_Ascl2_secondary	ASCL2	0.0	3.16390335188e-17	ELAVL4,ACVR1C,GRIA2,CPEB1,RNF180,GRN,GPM6A,CNTN4,TMEM132D,TEAD3,MAFA,TEAD1,PPM1H,GAD2,RREB1,DGKZ,LHX3,HDAC7,ADAMTS2,MECOM,RORB,RORA,SOX17,MAP10,PGR,GLP1R,MEIS2,KBTBD7,TCF7,TCF3,TSHZ3,HMGCLL1,RXRA,UNC5D,PAX6,HS6ST3,NOL4,PBX3,ABCG1,ERO1L,NEUROD1,GFI1,CACNA1H,DSCAM,NKX2-2,IRS1,CAMKK2,FOXA2,PRUNE2,NKX3-2,LSAMP,SLC5A1,FOXC1
MA0003.1.TFAP2A	TFAP2A	0.0	3.22770340485e-17	B3GALT4,GRIA2,SNAP91,NKX2-2,CNTN4,TMEM132D,TEAD3,MAFA,PPM1H,GAD2,RREB1,DGKZ,CEBPA,LHX3,ADAMTS2,RORA,SOX17,ATRNL1,RUNX1,FOXF2,FAM135B,FOXQ1,KBTBD7,ABCG1,RXRA,ZFP36L1,BARX2,ST6GALNAC5,GABRB3,PBX3,FAIM2,TENM3,SULT4A1,CACNA1H,CCND1,FOXA2,PRUNE2,NKX3-2,STXBP5L
MA0099.1.Fos	FOS	5.81756864904e-14	1.43732397086e-16	ELAVL4,C2CD4A,AGBL4,TSPYL5,SPTB,CPEB1,TMEM63C,GRIA4,G6PC2,GRN,FOXO1,CNTN4,NKX2-2,TMEM132D,PPM1H,ST18,RREB1,CACNA1H,GFI1B,ADAMTS2,KCNMA1,RORA,IGSF11,NMNAT3,FAM135B,FGF14,SDK1,TCF7,RIMBP2,SP1,RXRA,ANKS1B,SLC43A3,ROR1,PBX1,ABCG1,IRF1,SULT4A1,PAPPA2,MTUS2,KL,MEIS2,LSAMP,HS6ST3
MA0162.1.Egr1	EGR1	1.16129328376e-13	1.83550097833e-16	MYO3A,GRIA2,CPEB1,IRAK1BP1,CNTN4,TMEM132D,NKX2-2,MAFA,TEAD1,RUNX1,CACNA1H,SIM1,ZBTB10,MZF1,CACNB2,DSCAM,PGR,OXGR1,DLX1,DLX2,PCDH17,SDK1,RIMBP2,TSHZ3,RXRA,REST,LHX3,GRN,GABRB3,PBX3,CEBPA,IRF2,GFI1,CCND1,RNF180,NECAB2,FOXA2,ATF3,PDX1,FOXC1,CCBL2
UP00006_1_Zic3_primary	ZIC3	8.69304628281e-13	1.63124382377e-15	GRIA2,SNAP91,IRAK1BP1,BMPER,CNTN4,TMEM132D,NKX2-2,MAFA,PPM1H,RREB1,CACNA1H,SIM1,LHX3,GFI1B,MZF1,MECOM,SOX17,ATRNL1,PGR,NMNAT3,FOXQ1,ABCG1,RXRA,ZFP36L1,BARX2,ST6GALNAC5,PBX3,SULT4A1,FAIM2,GFI1,SLC5A1,IRS1,NKX3-2,CCBL2
UP00057_1_Zic2_primary	ZIC2	3.29702931623e-12	6.29577625927e-15	GRIA2,SNAP91,IRAK1BP1,BMPER,TMEM132D,NKX2-2,MAFA,PPM1H,RREB1,CACNA1H,SIM1,LHX3,GFI1B,MZF1,ADAMTS2,MECOM,SOX17,ATRNL1,PGR,NMNAT3,FOXQ1,ABCG1,RXRA,ZFP36L1,BARX2,ST6GALNAC5,PBX3,SULT4A1,FAIM2,GFI1,SLC5A1,NKX3-2,CCBL2
