# WARNING: this file is not sorted!
# db	motif                         	 E-value	adj_p-value	log_adj_p-value	bin_location	bin_width	total_width	sites_in_bin	total_sites	p_success	 p-value	mult_tests
   1	1                             	5.8e-402	   6.6e-405	        -930.66	         0.0	       89	        143	       13947	      18058	  0.62238	9.3e-407	        71
   2	TGAVTMA                       	4.8e-433	   5.6e-436	       -1002.21	         0.0	       90	        144	       15887	      20617	  0.62500	7.8e-438	        71
   2	DGGAAD                        	3.9e-011	   4.5e-014	         -30.72	         0.0	      109	        145	       30687	      39910	  0.75172	6.3e-016	        72
   2	TGTGGTHW                      	2.0e-016	   2.3e-019	         -42.93	         0.0	       73	        143	        2571	       4426	  0.51049	3.2e-021	        71
   3	MA0002.1 RUNX1                	2.3e-005	   2.7e-008	         -17.43	         0.0	      100	        140	       11535	      15665	  0.71429	3.9e-010	        69
   3	MA0004.1 Arnt                 	5.4e-004	   6.3e-007	         -14.28	         0.0	      105	        145	        3695	       4862	  0.72414	8.7e-009	        72
   3	MA0006.1 Arnt::Ahr            	1.7e0000	   1.9e-003	          -6.26	         0.0	       67	        145	        8658	      18148	  0.46207	2.6e-005	        72
   3	MA0008.1 HAT5                 	1.5e0000	   1.7e-003	          -6.37	         0.0	       65	        143	        4702	       9901	  0.45455	2.4e-005	        71
   3	MA0018.1 CREB1                	1.3e-009	   1.5e-012	         -27.20	         0.0	       99	        139	        2824	       3680	  0.71223	2.2e-014	        69
   3	MA0018.2 CREB1                	1.3e-010	   1.4e-013	         -29.57	         0.0	      103	        143	       15277	      20515	  0.72028	2.0e-015	        71
   3	MA0026.1 Eip74EF              	2.8e-016	   3.3e-019	         -42.57	         0.0	       88	        144	       17847	      27963	  0.61111	4.6e-021	        71
   3	MA0028.1 ELK1                 	1.5e-001	   1.7e-004	          -8.70	         0.0	       83	        141	       20373	      33905	  0.58865	2.4e-006	        70
   3	MA0043.1 HLF                  	5.6e-016	   6.4e-019	         -41.89	         0.0	      101	        139	       10887	      14311	  0.72662	9.3e-021	        69
   3	MA0058.1 MAX                  	1.2e-001	   1.4e-004	          -8.87	         0.0	       61	        141	        3361	       7315	  0.43262	2.0e-006	        70
   3	MA0059.1 MYC::MAX             	2.5e-003	   2.8e-006	         -12.77	         0.0	       56	        140	        2686	       6196	  0.40000	4.1e-008	        69
   3	MA0060.1 NFYA                 	2.1e-003	   2.4e-006	         -12.95	         0.0	       97	        135	        5232	       7001	  0.71852	3.5e-008	        67
   3	MA0062.1 GABPA                	1.6e-005	   1.8e-008	         -17.82	         0.0	       83	        141	        7769	      12616	  0.58865	2.6e-010	        70
   3	MA0062.2 GABPA                	1.2e-014	   1.4e-017	         -38.82	         0.0	       78	        140	        7601	      12745	  0.55714	2.0e-019	        69
   3	MA0067.1 Pax2                 	3.6e-070	   4.2e-073	        -166.66	         0.0	       81	        143	       23946	      39126	  0.56643	5.9e-075	        71
   3	MA0069.1 Pax6                 	1.5e-005	   1.7e-008	         -17.89	         0.0	       81	        137	        6394	      10292	  0.59124	2.5e-010	        68
   3	MA0070.1 PBX1                 	1.4e0000	   1.6e-003	          -6.41	         0.0	       75	        139	        4885	       8702	  0.53957	2.4e-005	        69
   3	MA0076.1 ELK4                 	7.0e-002	   8.1e-005	          -9.43	         0.0	       46	        142	        1238	       3416	  0.32394	1.2e-006	        70
   3	MA0081.1 SPIB                 	4.8e-002	   5.5e-005	          -9.81	         0.0	      112	        144	       28599	      36283	  0.77778	7.7e-007	        71
   3	MA0089.1 NFE2L1::MafG         	3.2e-133	   3.6e-136	        -311.86	         0.0	       83	        145	       26718	      42268	  0.57241	5.1e-138	        72
   3	MA0090.1 TEAD1                	2.0e-025	   2.3e-028	         -63.63	         0.0	       77	        139	        7009	      11561	  0.55396	3.4e-030	        69
   3	MA0096.1 bZIP910              	1.9e-011	   2.2e-014	         -31.43	         0.0	       70	        144	         751	       1250	  0.48611	3.1e-016	        71
   3	MA0097.1 bZIP911              	8.8e-002	   1.0e-004	          -9.20	         0.0	       79	        139	         593	        920	  0.56835	1.5e-006	        69
   3	MA0098.1 ETS1                 	3.1e-007	   3.6e-010	         -21.75	         0.0	      109	        145	       34515	      45088	  0.75172	5.0e-012	        72
   3	MA0099.1 Fos                  	9.3e-319	   1.1e-321	        -739.06	         0.0	       71	        143	       19730	      32755	  0.49650	1.5e-323	        71
   3	MA0099.2 AP1                  	3.3e-294	   3.7e-297	        -682.55	         0.0	       90	        144	       27159	      37986	  0.62500	5.3e-299	        71
   3	MA0102.1 Cebpa                	1.3e0000	   1.5e-003	          -6.51	         0.0	       69	        139	       13941	      27401	  0.49640	2.2e-005	        69
   3	MA0102.2 CEBPA                	4.7e-004	   5.4e-007	         -14.44	         0.0	      100	        142	       21142	      29396	  0.70423	7.6e-009	        70
   3	MA0104.2 Mycn                 	7.1e-006	   8.1e-009	         -18.63	         0.0	       55	        141	        5345	      12802	  0.39007	1.2e-010	        70
   3	MA0110.1 ATHB-5               	2.0e-005	   2.3e-008	         -17.58	         0.0	       66	        142	        3684	       7355	  0.46479	3.3e-010	        70
   3	MA0117.1 Mafb                 	5.1e-031	   5.9e-034	         -76.52	         0.0	       85	        143	       25747	      41237	  0.59441	8.2e-036	        71
   3	MA0119.1 TLX1::NFIC           	2.6e-036	   3.0e-039	         -88.71	         0.0	       99	        137	        2158	       2585	  0.72263	4.4e-041	        68
   3	MA0129.1 TGA1A                	7.4e-008	   8.5e-011	         -23.19	         0.0	       98	        144	        9332	      13165	  0.68056	1.2e-012	        71
   3	MA0136.1 ELF5                 	9.6e-007	   1.1e-009	         -20.63	         0.0	      108	        142	       30777	      39728	  0.76056	1.6e-011	        70
   3	MA0137.2 STAT1                	1.5e-001	   1.8e-004	          -8.64	         0.0	       72	        136	        9074	      16586	  0.52941	2.6e-006	        67
   3	MA0138.1 REST                 	7.5e0000	   8.6e-003	          -4.76	         0.0	       42	        132	         936	       2661	  0.31818	1.3e-004	        65
   3	MA0138.2 REST                 	2.1e0000	   2.5e-003	          -6.00	         0.0	       38	        130	         744	       2247	  0.29231	3.9e-005	        64
   3	MA0139.1 CTCF                 	6.0e-047	   6.9e-050	        -113.20	         0.0	       52	        132	        4450	       9460	  0.39394	1.1e-051	        65
   3	MA0144.1 Stat3                	3.7e-006	   4.2e-009	         -19.28	         0.0	       95	        141	       13564	      19509	  0.67376	6.1e-011	        70
   3	MA0147.1 Myc                  	3.6e0000	   4.1e-003	          -5.49	         0.0	       55	        141	        5534	      13622	  0.39007	5.9e-005	        70
   3	MA0150.1 NFE2L2               	3.5e-077	   4.0e-080	        -182.82	         0.0	       76	        140	        8496	      13615	  0.54286	5.8e-082	        69
   3	MA0153.1 HNF1B                	2.9e-002	   3.3e-005	         -10.32	         0.0	       63	        139	        1864	       3780	  0.45324	4.8e-007	        69
   3	MA0156.1 FEV                  	4.9e-012	   5.6e-015	         -32.82	         0.0	       97	        143	       10272	      14465	  0.67832	7.9e-017	        71
   3	MA0158.1 HOXA5                	2.4e-001	   2.7e-004	          -8.20	         0.0	       55	        143	       10569	      26554	  0.38462	3.9e-006	        71
   3	MA0161.1 NFIC                 	7.5e-025	   8.6e-028	         -62.32	         0.0	       99	        145	       30149	      42587	  0.68276	1.2e-029	        72
