DB 0 MOTIF	1
 -71.0	49
 -70.0	52.8333
 -69.0	47
 -68.0	62
 -67.0	59.5
 -66.0	45.75
 -65.0	58.5
 -64.0	60.5
 -63.0	40
 -62.0	61.5
 -61.0	51
 -60.0	68.5
 -59.0	63
 -58.0	59.8333
 -57.0	66.5
 -56.0	71
 -55.0	73
 -54.0	73
 -53.0	68
 -52.0	101.5
 -51.0	81.5
 -50.0	90.5
 -49.0	87
 -48.0	90.5
 -47.0	95.5
 -46.0	89.5
 -45.0	103.5
 -44.0	112.5
 -43.0	111
 -42.0	106.333
 -41.0	122.833
 -40.0	115.5
 -39.0	114.5
 -38.0	102.5
 -37.0	106
 -36.0	109.5
 -35.0	104
 -34.0	106
 -33.0	132.5
 -32.0	116
 -31.0	129.5
 -30.0	125.5
 -29.0	139
 -28.0	135
 -27.0	154
 -26.0	141.833
 -25.0	144.5
 -24.0	141.167
 -23.0	154.5
 -22.0	153.333
 -21.0	177.5
 -20.0	176.5
 -19.0	134.5
 -18.0	170
 -17.0	166
 -16.0	168
 -15.0	170
 -14.0	162
 -13.0	137.5
 -12.0	163
 -11.0	173.5
 -10.0	154.5
  -9.0	163.333
  -8.0	164
  -7.0	161.833
  -6.0	184
  -5.0	178.5
  -4.0	182.833
  -3.0	168.75
  -2.0	170.5
  -1.0	217
   0.0	166.833
   1.0	201
   2.0	204.5
   3.0	184.5
   4.0	188
   5.0	191
   6.0	174
   7.0	182.833
   8.0	183.5
   9.0	192
  10.0	196
  11.0	183
  12.0	192
  13.0	205
  14.0	205.5
  15.0	187.5
  16.0	167.833
  17.0	199
  18.0	207.167
  19.0	189.5
  20.0	170
  21.0	171
  22.0	167
  23.0	160.5
  24.0	172.333
  25.0	162
  26.0	177
  27.0	163.5
  28.0	151
  29.0	167.083
  30.0	163.333
  31.0	150
  32.0	138.333
  33.0	148.5
  34.0	140
  35.0	156.833
  36.0	140
  37.0	117.5
  38.0	144
  39.0	133.5
  40.0	125.5
  41.0	125.833
  42.0	134
  43.0	127
  44.0	119.5
  45.0	117
  46.0	117
  47.0	120.833
  48.0	122
  49.0	94.5
  50.0	108
  51.0	98
  52.0	98.5
  53.0	91.5
  54.0	81.5
  55.0	71.5
  56.0	88
  57.0	77
  58.0	97
  59.0	78
  60.0	82.25
  61.0	73
  62.0	67
  63.0	73.3333
  64.0	62.5
  65.0	65
  66.0	51.5
  67.0	46
  68.0	53.5
  69.0	54.5
  70.0	82.5
  71.0	69.5
DB 1 MOTIF	TGAVTMA
 -71.5	68.3333
 -70.5	58.3333
 -69.5	62.8333
 -68.5	60.5
 -67.5	73.8333
 -66.5	62.3333
 -65.5	61.2
 -64.5	78.5
 -63.5	69.3333
 -62.5	54
 -61.5	60
 -60.5	69.3333
 -59.5	80.8333
 -58.5	70.8333
 -57.5	74
 -56.5	95
 -55.5	79
 -54.5	84.25
 -53.5	87
 -52.5	87
 -51.5	102
 -50.5	106.5
 -49.5	95.3333
 -48.5	107.833
 -47.5	112.5
 -46.5	107.5
 -45.5	95.5
 -44.5	139.5
 -43.5	129.5
 -42.5	112.5
 -41.5	126.667
 -40.5	128.333
 -39.5	131.5
 -38.5	131
 -37.5	131
 -36.5	110.833
 -35.5	122
 -34.5	140.833
 -33.5	125.367
 -32.5	130.5
 -31.5	138.5
 -30.5	139.833
 -29.5	155
 -28.5	158.833
 -27.5	168.5
 -26.5	157.5
 -25.5	171.167
 -24.5	161
 -23.5	169
 -22.5	167.25
 -21.5	172.333
 -20.5	202
 -19.5	172.667
 -18.5	163.333
 -17.5	179.333
 -16.5	192
 -15.5	189
 -14.5	184.833
 -13.5	172
 -12.5	187.333
 -11.5	193.833
 -10.5	178
  -9.5	182.833
  -8.5	198.833
  -7.5	162
  -6.5	221.333
  -5.5	193.833
  -4.5	225.5
  -3.5	200.833
  -2.5	202.2
  -1.5	216
  -0.5	220.5
   0.5	198.833
   1.5	230.833
   2.5	221.167
   3.5	215.333
   4.5	207.083
   5.5	197.333
   6.5	218.333
   7.5	187.5
   8.5	226.667
   9.5	223.583
  10.5	212.5
  11.5	227.75
  12.5	213
  13.5	240.333
  14.5	210
  15.5	204.333
  16.5	211
  17.5	206.333
  18.5	211.333
  19.5	219
  20.5	173.333
  21.5	191.5
  22.5	188.333
  23.5	202
  24.5	176.333
  25.5	182
  26.5	201.5
  27.5	190.5
  28.5	178.667
  29.5	178.533
  30.5	184.167
  31.5	161.5
  32.5	157.5
  33.5	160
  34.5	147.75
  35.5	165.833
  36.5	153
  37.5	143.833
  38.5	158.333
  39.5	141.5
  40.5	138.333
  41.5	155.083
  42.5	151.833
  43.5	122.333
  44.5	144
  45.5	131
  46.5	136.25
  47.5	151.833
  48.5	114.5
  49.5	104
  50.5	130
  51.5	113
  52.5	110
  53.5	102.667
  54.5	102.333
  55.5	93.5
  56.5	97.8333
  57.5	105.167
  58.5	98.5
  59.5	86
  60.5	75.5333
  61.5	95.6667
  62.5	74.5
  63.5	83.5
  64.5	83.5
  65.5	66
  66.5	51.5
  67.5	60.5
  68.5	78
  69.5	77.3333
  70.5	72.8333
  71.5	71.3333
DB 1 MOTIF	DGGAAD
 -72.0	272.783
 -71.0	229.917
 -70.0	271.417
 -69.0	224.583
 -68.0	243.917
 -67.0	252
 -66.0	250.817
 -65.0	268.917
 -64.0	263.25
 -63.0	263.917
 -62.0	246.517
 -61.0	263.117
 -60.0	253.083
 -59.0	279.417
 -58.0	282.7
 -57.0	275.167
 -56.0	276.5
 -55.0	245.667
 -54.0	270.4
 -53.0	261.833
 -52.0	269.167
 -51.0	249.583
 -50.0	265.867
 -49.0	263.667
 -48.0	254.167
 -47.0	255.5
 -46.0	273.917
 -45.0	265.333
 -44.0	281.5
 -43.0	279.317
 -42.0	261.667
 -41.0	255.45
 -40.0	284.867
 -39.0	268.367
 -38.0	278.583
 -37.0	307.917
 -36.0	289.783
 -35.0	281.367
 -34.0	291.333
 -33.0	260.117
 -32.0	312.4
 -31.0	254.667
 -30.0	282.25
 -29.0	258.333
 -28.0	288.817
 -27.0	274.783
 -26.0	245.5
 -25.0	275.833
 -24.0	270.65
 -23.0	278.167
 -22.0	289.083
 -21.0	291.65
 -20.0	281.833
 -19.0	289.75
 -18.0	309.583
 -17.0	272.367
 -16.0	262.167
 -15.0	288.833
 -14.0	267.45
 -13.0	296.833
 -12.0	278.083
 -11.0	290.233
 -10.0	295.25
  -9.0	297.017
  -8.0	278.2
  -7.0	281.667
  -6.0	276.533
  -5.0	292.333
  -4.0	288.317
  -3.0	302.45
  -2.0	282.667
  -1.0	278.417
   0.0	304.583
   1.0	278.083
   2.0	286.417
   3.0	291.65
   4.0	292
   5.0	323.2
   6.0	297.483
   7.0	270
   8.0	270.583
   9.0	275.45
  10.0	298
  11.0	264.5
  12.0	272.25
  13.0	278.417
  14.0	305
  15.0	310.617
  16.0	258.783
  17.0	263.167
  18.0	288.733
  19.0	308.417
